is_number,title,year,status,category,keywords,related_service,source_url
IS 1673: 1984,"Specification for Mild Steel Wire, Cold Heading Quality",1984,Mandatory (QCO),Compulsory Certification,"Specification, Mild, Steel, Wire, Cold, Heading",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1812: 1982,Specification for Carbon Steel Wire for the Manufacture of Wood Screws,1982,Mandatory (QCO),Compulsory Certification,"Specification, Carbon, Steel, Wire, Manufacture, Wood",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2507: 1975,Specification for Cold – rolled Steel Strips For Springs.,1975,Mandatory (QCO),Compulsory Certification,"Specification, Cold, rolled, Steel, Strips, Springs",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2255: 1977,Specification for Mild Steel Wire Rod for the Manufacture of Machine Screws (By Cold Heading Process).,1977,Mandatory (QCO),Compulsory Certification,"Specification, Mild, Steel, Wire, Manufacture, Machine",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3195: 1992,Steel For the Manufacture of Volute And Helical Springs (for Railway Rolling Stock) – Specification .,1992,Mandatory (QCO),Compulsory Certification,"Steel, Manufacture, Volute, Helical, Springs, Railway",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3431: 1982,"Specification for Steel for the manufacture of volute, helical and laminated springs for automotive suspension.",1982,Mandatory (QCO),Compulsory Certification,"Specification, Steel, manufacture, volute, helical, laminated",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3885-Part-1: 1992,Steel for the manufacture of laminated springs (railway rolling stock) Part 1 Flat Sections – Specification.,1992,Mandatory (QCO),Compulsory Certification,"Steel, manufacture, laminated, springs, railway, rolling",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3885-Part- 2: 1992,Steel for the manufacture of laminated springs (railway rolling stock) Part 2: Rib and Groove Sections- Specification.,1992,Mandatory (QCO),Compulsory Certification,"Steel, manufacture, laminated, springs, railway, rolling",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 4223: 1975,Specification for Steel Wire for Umbrella Ribs .,1975,Mandatory (QCO),Compulsory Certification,"Specification, Steel, Wire, Umbrella, Ribs",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 4224: 1972,"Specification for Steel Wire for Staples, Pins And Clips.",1972,Mandatory (QCO),Compulsory Certification,"Specification, Steel, Wire, Staples, Pins, Clips",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 4397: 1999,Cold-rolled Carbon Steel Strips for Ball and Roller Bearing Cages/ Retainers- Specification.,1999,Mandatory (QCO),Compulsory Certification,"Cold, rolled, Carbon, Steel, Strips, Ball",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 4398: 1994,"Carbon-chromium Steel for the Manufacture of Balls, Rollers and Bearing Races- Specification",1994,Mandatory (QCO),Compulsory Certification,"Carbon, chromium, Steel, Manufacture, Balls, Rollers",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 6902: 1973,Specification for Steel Wire for spokes.,1973,Mandatory (QCO),Compulsory Certification,"Specification, Steel, Wire, spokes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 6967: 1973,Specification for Steel For Electrically welded round Link Chains.,1973,Mandatory (QCO),Compulsory Certification,"Specification, Steel, Electrically, welded, round, Link",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 7226: 1974,"Specification for Cold rolled medium, high carbon and low alloy steel strip for general engineering purposes.",1974,Mandatory (QCO),Compulsory Certification,"Specification, Cold, rolled, medium, high, carbon",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 7557: 1982,Specification for Steel Wire: (Up to 20 mm) for the manufacture of cold-forged rivets.,1982,Mandatory (QCO),Compulsory Certification,"Specification, Steel, Wire, manufacture, cold, forged",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 8052: 2006,"Steel ingots, billets and blooms for the production of springs, rivets and screws for general engineering applications – Specification.",2006,Mandatory (QCO),Compulsory Certification,"Steel, ingots, billets, blooms, production, springs",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 8951: 2001,"Steel Cast Billet Ingots, Billets and Blooms for production of High Carbon Steel Wire Rods- Specification",2001,Mandatory (QCO),Compulsory Certification,"Steel, Cast, Billet, Ingots, Billets, Blooms",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 8952: 1995,"Steel ingots, blooms and billets for production of mild steel wire rods for general engineering purposes – Specification",1995,Mandatory (QCO),Compulsory Certification,"Steel, ingots, blooms, billets, production, mild",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 9476: 1980,Specification for Cold rolled steel strips for carbon steel razor blades.,1980,Mandatory (QCO),Compulsory Certification,"Specification, Cold, rolled, steel, strips, carbon",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 9962: 1981,Specification for Steel Wire for Needles.,1981,Mandatory (QCO),Compulsory Certification,"Specification, Steel, Wire, Needles",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17111: 2019 (ISO 683- 17: 2014),Heat-Treated Steels Alloy and Free-Cutting Steels — Ball and Roller Bearing Steels.,2019,Mandatory (QCO),Compulsory Certification,"Heat, Treated, Steels, Alloy, Free, Cutting",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 14331:1995,Steels for High Temperature Bolting Applications – Specification,1995,Mandatory (QCO),Compulsory Certification,"Steels, High, Temperature, Bolting, Applications, Specification",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
