is_number,title,year,status,category,keywords,related_service,source_url
IS 17354 : 2020,Dental Bib or Napkins,2020,Mandatory (QCO),Compulsory Certification,"Dental, Napkins",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17630 : 2021,Bed sheet and Pillow Cover,2021,Mandatory (QCO),Compulsory Certification,"sheet, Pillow, Cover",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16718 : 2021,Polypropylene Spun Bonded Non—Woven Crop Cover and Fruit Skirting Bags for Agriculture and Horticulture Applications,2021,Mandatory (QCO),Compulsory Certification,"Polypropylene, Spun, Bonded, Woven, Crop, Cover",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16513 : 2016,Insect nets for Agriculture and Horticulture purpose,2016,Mandatory (QCO),Compulsory Certification,"Insect, nets, Agriculture, Horticulture, purpose",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16202 : 2014,Woven Ground covers for Horticulture Application,2014,Mandatory (QCO),Compulsory Certification,"Woven, Ground, covers, Horticulture, Application",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17070 : 2019,Jute Agro textiles for Growth of Plants and Suppression of Weeds,2019,Mandatory (QCO),Compulsory Certification,"Jute, Agro, textiles, Growth, Plants, Suppression",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15907 : 2010,High Density Polyethylene (HDPE) woven beds for vermiculture,2010,Mandatory (QCO),Compulsory Certification,"High, Density, Polyethylene, HDPE, woven, beds",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16089 : 2013,Sapling bags for growth of seedling /sapling,2013,Mandatory (QCO),Compulsory Certification,"Sapling, bags, growth, seedling, sapling",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16190 : 2014,High Density Polyethylene (HDPE) laminated woven lay flat tube for irrigation purpose,2014,Mandatory (QCO),Compulsory Certification,"High, Density, Polyethylene, HDPE, laminated, woven",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16390 : 2015,Nylon Knitted seamless gloves for tobacco harvesters,2015,Mandatory (QCO),Compulsory Certification,"Nylon, Knitted, seamless, gloves, tobacco, harvesters",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16627 : 2017,High density polyethylene (HDPE) laminated woven lay flat tube for use in mains and submains of drip irrigation system,2017,Mandatory (QCO),Compulsory Certification,"High, density, polyethylene, HDPE, laminated, woven",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17355 : 2020,Propylene Spun bonded non—woven mulch mat for agriculture and horticulture applications,2020,Mandatory (QCO),Compulsory Certification,"Propylene, Spun, bonded, woven, mulch, agriculture",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17356 : 2020,Windshield nets for agriculture and horticulture purpose,2020,Mandatory (QCO),Compulsory Certification,"Windshield, nets, agriculture, horticulture, purpose",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17357 : 2020,Harvest nets for agriculture and horticulture purposes,2020,Mandatory (QCO),Compulsory Certification,"Harvest, nets, agriculture, horticulture, purposes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17358 (Part 1) : 2020,Fencing nets for agriculture and horticulture purposes – made from extruded polymer mesh,2020,Mandatory (QCO),Compulsory Certification,"Fencing, nets, agriculture, horticulture, purposes, made",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17358 (Part 2) : 2020,Fencing nets for agriculture and horticulture purposes -made from mono filament yarns and combination of tape and mono filament yarns,2020,Mandatory (QCO),Compulsory Certification,"Fencing, nets, agriculture, horticulture, purposes, made",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17513 : 2020,Plant Support Nets for Agriculture and Horticulture Purposes,2020,Mandatory (QCO),Compulsory Certification,"Plant, Support, Nets, Agriculture, Horticulture, Purposes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17728 : 2021,High Density Polyethylene (HDPE) Laminated Woven Lay Flat Tube and Fittings for use in Rain Irrigation System,2021,Mandatory (QCO),Compulsory Certification,"High, Density, Polyethylene, HDPE, Laminated, Woven",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17729 : 2021,Flexible Water Storage Tank for Agriculture and Horticulture Purposes,2021,Mandatory (QCO),Compulsory Certification,"Flexible, Water, Storage, Tank, Agriculture, Horticulture",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17730 (Part 1) : 2021,Hail Protection Nets for Agriculture and Horticulture Purposes- Warp Knitted Hail Protection Nets,2021,Mandatory (QCO),Compulsory Certification,"Hail, Protection, Nets, Agriculture, Horticulture, Purposes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17730 (Part 2) : 2021,Hail Protection Nets for Agriculture and Horticulture Purposes – Woven Hail Protection Nets,2021,Mandatory (QCO),Compulsory Certification,"Hail, Protection, Nets, Agriculture, Horticulture, Purposes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17731 : 2021,Laminated Woven Orchard Protection Covers,2021,Mandatory (QCO),Compulsory Certification,"Laminated, Woven, Orchard, Protection, Covers",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 12444:2020,Copper Wire Rods for Electrical Applications,2020,Mandatory (QCO),Compulsory Certification,"Copper, Wire, Rods, Electrical, Applications",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 613:2000,Copper Rods and Bars for Electrical Purposes,2000,Mandatory (QCO),Compulsory Certification,"Copper, Rods, Bars, Electrical, Purposes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1897:2008,Copper strip for electrical purposes,2008,Mandatory (QCO),Compulsory Certification,"Copper, strip, electrical, purposes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 4171:1983,Copper rods and bars for general engineering purposes,1983,Mandatory (QCO),Compulsory Certification,"Copper, rods, bars, general, engineering, purposes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1545: 1994,Solid drawn copper and copper alloy tubes for condensers and heat exchangers,1994,Mandatory (QCO),Compulsory Certification,"Solid, drawn, copper, alloy, tubes, condensers",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2501: 1995,Solid drawn copper tubes for general engineering purposes,1995,Mandatory (QCO),Compulsory Certification,"Solid, drawn, copper, tubes, general, engineering",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 14810: 2000,Copper Tubes for plumbing- Specification,2000,Mandatory (QCO),Compulsory Certification,"Copper, Tubes, plumbing, Specification",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 10773:1995,Wrought Copper Tubes for Refrigeration and Air- Conditioning Purpose,1995,Mandatory (QCO),Compulsory Certification,"Wrought, Copper, Tubes, Refrigeration, Conditioning, Purpose",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 4412:1981,Copper wires for general engineering purposes,1981,Mandatory (QCO),Compulsory Certification,"Copper, wires, general, engineering, purposes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 13997:2014,"Drums, Large Open Top",2014,Mandatory (QCO),Compulsory Certification,"Drums, Large, Open",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1783 (Part 1) :2014,"Drums Large, Fixed Ends – Grade A",2014,Mandatory (QCO),Compulsory Certification,"Drums, Large, Fixed, Ends, Grade",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1783 (Part 2) :2014,"Drums, Large, Fixed Ends – Grade",2014,Mandatory (QCO),Compulsory Certification,"Drums, Large, Fixed, Ends, Grade",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2552:1989,Steel Drums (Galvanized and Ungalvanized),1989,Mandatory (QCO),Compulsory Certification,"Steel, Drums, Galvanized, Ungalvanized",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3575:1993,Bitumen Drums,1993,Mandatory (QCO),Compulsory Certification,"Bitumen, Drums",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 916:2000,Square Tins for Solid Products,2000,Mandatory (QCO),Compulsory Certification,"Square, Tins, Solid, Products",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 10325:2000,"Square Tins – 15 Kilograms or litre for Ghee, Vanaspati, Edible Oils and Bakery",2000,Mandatory (QCO),Compulsory Certification,"Square, Tins, Kilograms, litre, Ghee, Vanaspati",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 6343:1982,Door closers (pneumatically regulated) for light doors weighing up to 40 kg,1982,Mandatory (QCO),Compulsory Certification,"Door, closers, pneumatically, regulated, light, doors",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 14912:2001,"Door closers, concealed type (hydraulically regulated)",2001,Mandatory (QCO),Compulsory Certification,"Door, closers, concealed, type, hydraulically, regulated",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3564:1995,Hydraulically Regulated Door Closers,1995,Mandatory (QCO),Compulsory Certification,"Hydraulically, Regulated, Door, Closers",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 6315:1992,Floor springs (hydraulically regulated) for heavy doors,1992,Mandatory (QCO),Compulsory Certification,"Floor, springs, hydraulically, regulated, heavy, doors",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1019:1974,Rim Latches,1974,Mandatory (QCO),Compulsory Certification,Latches,Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 208:2020,Door Handles,2020,Mandatory (QCO),Compulsory Certification,"Door, Handles",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 4992:1975,Door handles for mortice lock (vertical type),1975,Mandatory (QCO),Compulsory Certification,"Door, handles, mortice, lock, vertical, type",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17681:2022,Bottled water dispensers,2022,Mandatory (QCO),Compulsory Certification,"Bottled, water, dispensers",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2745:1983,Non-metal helmet for firemen and civil defence personnel,1983,Mandatory (QCO),Compulsory Certification,"metal, helmet, firemen, civil, defence, personnel",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2925:1984,Industrial safety helmets,1984,Mandatory (QCO),Compulsory Certification,"Industrial, safety, helmets",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 9562:1980,Non- metal helmet for Police Force,1980,Mandatory (QCO),Compulsory Certification,"metal, helmet, Police, Force",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2266 : 2019,Steel Wire Ropes for General Engineering Purposes,2019,Mandatory (QCO),Compulsory Certification,"Steel, Wire, Ropes, General, Engineering, Purposes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2365 : 2018,"Steel Wire Suspension Ropes for Lifts, Elevators and Hoists",2018,Mandatory (QCO),Compulsory Certification,"Steel, Wire, Suspension, Ropes, Lifts, Elevators",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1855:2022,Stranded steel wire ropes for winding and man –riding haulages in mines,2022,Mandatory (QCO),Compulsory Certification,"Stranded, steel, wire, ropes, winding, riding",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1856:2005,Steel Wire Rope forhaulage,2005,Mandatory (QCO),Compulsory Certification,"Steel, Wire, Rope, forhaulage",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2141:20005,Hot Dip Galvanized Stay Strand,Current,Mandatory (QCO),Compulsory Certification,"Galvanized, Stay, Strand",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 4521:2001,Wire Ropes Used in Oil Wells and Oil Well Drilling,2001,Mandatory (QCO),Compulsory Certification,"Wire, Ropes, Used, Wells, Well, Drilling",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 6590:1972,Braided Nylon Ropes for Mountaineering Purposes,1972,Mandatory (QCO),Compulsory Certification,"Braided, Nylon, Ropes, Mountaineering, Purposes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 278:2009,Galvanized Steel Barbed Wire for Fencing,2009,Mandatory (QCO),Compulsory Certification,"Galvanized, Steel, Barbed, Wire, Fencing",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16014:2018,"Mechanically Woven, Double- Twisted, Hexagonal Wire Mesh Gabions, Revet Mattresses and Rock Fall Netting and Other Rock Fall Netting and Other Products for Civil Engineering Purposes (Galvanized Steel Wire or Galvanized Steel Wire with polymer coating)",2018,Mandatory (QCO),Compulsory Certification,"Mechanically, Woven, Double, Twisted, Hexagonal, Wire",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1269(Part 1) : 1997,Legal Metrology – Material Measure of length – Woven metallic and glass fibre tape measures,1997,Mandatory (QCO),Compulsory Certification,"Legal, Metrology, Material, Measure, length, Woven",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1269(Part 2) : 1997,Legal Metrology – Material Measure of length – Steel tape measures,1997,Mandatory (QCO),Compulsory Certification,"Legal, Metrology, Material, Measure, length, Steel",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 9755 : 2021,Textiles—High Density Polyethylene (HDPE) /Polypropylene (PP) Woven Sacks for Packaging Fertilizers,2021,Mandatory (QCO),Compulsory Certification,"Textiles, High, Density, Polyethylene, HDPE, Polypropylene",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 11652 : 2017,Textiles — High Density Polyethylene (HDPE)/ Polypropylene (PP) Woven Sacks for Packaging of 50 kg Cement,2017,Mandatory (QCO),Compulsory Certification,"Textiles, High, Density, Polyethylene, HDPE, Polypropylene",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16709 : 2017,"Textiles — Polypropylene (PP) Woven, Laminated, Block Bottom Valve Sacks for Packaging of 50 kg Cement",2017,Mandatory (QCO),Compulsory Certification,"Textiles, Polypropylene, Woven, Laminated, Block, Bottom",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16703 : 2017,Textiles — High Density Polyethylene (HDPE) Polypropylene (PP) Woven Sacks for Packaging of 25 kg Polymer Materials,2017,Mandatory (QCO),Compulsory Certification,"Textiles, High, Density, Polyethylene, HDPE, Polypropylene",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17399 : 2020,"Textiles — Polypropylene (PP)/ High Density Polyethylene (HDPE) Laminated Woven Sacks for Mail Sorting, Storage, Transport and Distribution",2020,Mandatory (QCO),Compulsory Certification,"Textiles, Polypropylene, High, Density, Polyethylene, HDPE",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 550 (Part 1) : 2014,Safes,2014,Mandatory (QCO),Compulsory Certification,Safes,Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 5244 : 2020,Safe deposit locker cabinets,2020,Mandatory (QCO),Compulsory Certification,"Safe, deposit, locker, cabinets",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17566 : 2021,Key locks for security equipment,2021,Mandatory (QCO),Compulsory Certification,"locks, security, equipment",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 12817:2020,Stainless steel butt hinges,2020,Mandatory (QCO),Compulsory Certification,"Stainless, steel, butt, hinges",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1341:2018,Steel Butt Hinges,2018,Mandatory (QCO),Compulsory Certification,"Steel, Butt, Hinges",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 205:1992,Non-ferrous metal butt hinges,1992,Mandatory (QCO),Compulsory Certification,"ferrous, metal, butt, hinges",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 206:2010,Tee and strap hinges,2010,Mandatory (QCO),Compulsory Certification,"strap, hinges",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 362:1991,Parliament hinges,1991,Mandatory (QCO),Compulsory Certification,"Parliament, hinges",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3818:1992,Continuous (Piano) hinges,1992,Mandatory (QCO),Compulsory Certification,"Continuous, Piano, hinges",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3843:1995,Steel back flap hinges,1995,Mandatory (QCO),Compulsory Certification,"Steel, back, flap, hinges",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 453:1993,Double-acting spring hinges,1993,Mandatory (QCO),Compulsory Certification,"Double, acting, spring, hinges",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 18297:2023,Cabinet hinges,2023,Mandatory (QCO),Compulsory Certification,"Cabinet, hinges",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2414:2005,Cycle and Rickshaw Pneumatic Tyres,2005,Mandatory (QCO),Compulsory Certification,"Cycle, Rickshaw, Pneumatic, Tyres",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2415 :2015,Cycle – Rubber Tubes (Moulded or Jointed),2015,Mandatory (QCO),Compulsory Certification,"Cycle, Rubber, Tubes, Moulded, Jointed",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 7466 :1994,Rubber Gaskets for Pressure Cookers,1994,Mandatory (QCO),Compulsory Certification,"Rubber, Gaskets, Pressure, Cookers",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 878 :2008,Laboratory glassware – Graduated measuring cylinders,2008,Mandatory (QCO),Compulsory Certification,"Laboratory, glassware, Graduated, measuring, cylinders",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 915:2012,Laboratory glassware – One – Mark volumetric flasks,2012,Mandatory (QCO),Compulsory Certification,"Laboratory, glassware, Mark, volumetric, flasks",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1381 (Part 1):2003,Laboratory glassware – Narrow-necked boiling flasks,2003,Mandatory (QCO),Compulsory Certification,"Laboratory, glassware, Narrow, necked, boiling, flasks",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1117:2018,Laboratory glassware – Single volume pipettes,2018,Mandatory (QCO),Compulsory Certification,"Laboratory, glassware, Single, volume, pipettes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2619:2018,Glass beakers,2018,Mandatory (QCO),Compulsory Certification,"Glass, beakers",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 14772: 2020,Boxes and Enclosures for Electrical Accessories for Household and Similar Fixed Electrical Installations,2020,Mandatory (QCO),Compulsory Certification,"Boxes, Enclosures, Electrical, Accessories, Household, Similar",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 14927 (Part 2): 2001,Cable Trunking and Ducting Systems for Electrical Installations – Cable Trunking and Ducting Systems Intended for Mounting on Walls or Ceiling,2001,Mandatory (QCO),Compulsory Certification,"Cable, Trunking, Ducting, Systems, Electrical, Installations",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1258: 2005,Bayonet Lamp Holders,2005,Mandatory (QCO),Compulsory Certification,"Bayonet, Lamp, Holders",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15787: 2008,Switch-socket-outlets (non-interlock type),2008,Mandatory (QCO),Compulsory Certification,"Switch, socket, outlets, interlock, type",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 13774:2021,Live Working Gloves of Insulating Material,2021,Mandatory (QCO),Compulsory Certification,"Live, Working, Gloves, Insulating, Material",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15652:2006,Insulating Mats for Electrical Purposes,2006,Mandatory (QCO),Compulsory Certification,"Insulating, Mats, Electrical, Purposes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 7809 (Part3/ Sec1): 1986,Specification for Pressure sensitive adhesive insulating tapes for electrical purposes- Part 3 requirements or individual materials – Sec 1 plasticized polyvinylchloride tapes with non- Thermosetting adhesive,1986,Mandatory (QCO),Compulsory Certification,"Specification, Pressure, sensitive, adhesive, insulating, tapes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16012: 2012,Poly- Laminated aluminium cable wrap,2012,Mandatory (QCO),Compulsory Certification,"Poly, Laminated, aluminium, cable, wrap",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17658:2021,Poly Vinyl Chloride (PVC) Homopolymers,2021,Mandatory (QCO),Compulsory Certification,"Poly, Vinyl, Chloride, Homopolymers",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 10951: 2020,Polypropylene (PP) Materials for Moulding and Extrusion,2020,Mandatory (QCO),Compulsory Certification,"Polypropylene, Materials, Moulding, Extrusion",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17042 (Part-1): 2018,Diesel Engines – NOx Reduction Agent AUS 32,2018,Mandatory (QCO),Compulsory Certification,"Diesel, Engines, Reduction, Agent",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3315:2019,Evaporative Air Coolers (Desert Coolers),2019,Mandatory (QCO),Compulsory Certification,"Evaporative, Coolers, Desert",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17570 (Part 1): 2021 ISO 16890-2: 2016,Air Filters for general ventilation – Technical specifications requirements and classification system based upon particulate matter efficiency (ePM),2021,Mandatory (QCO),Compulsory Certification,"Filters, general, ventilation, Technical, specifications, requirements",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 302 (Part 2/Sec 9): 2009,"Safety of household and similar electrical appliances – particular requirements – toasters, grills, roasters and similar appliances",2009,Mandatory (QCO),Compulsory Certification,"Safety, household, similar, electrical, appliances, particular",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 302 (Part 2/Sec 31): 2009,Safety of household and similar electrical appliances – particular requirements – range hoods,2009,Mandatory (QCO),Compulsory Certification,"Safety, household, similar, electrical, appliances, particular",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
